快速,过,K238,深圳西,太原,02:34,02:40
快速,过,K671,大同,宝鸡,02:47,02:55
快速,过,K237,太原,深圳西,03:09,03:17
快速,过,K690,重庆西,太原,03:47,03:53
快速,过,K672,宝鸡,大同,04:42,04:54
普客,始,8165,临汾,风陵渡,-,06:30
普客,始,8845,临汾,运城,-,07:08
快速,过,K603,北京,运城,07:28,07:34
普快,终,2462,包头,临汾,08:40,-
普客,始,6045,临汾,韩城,-,09:00
普客,终,8850,侯马,临汾,09:38,-
普快,始,4627,临汾,运城,-,09:42
快速,过,K7808,运城,大同,10:16,10:22
快速,终,K868,唐山,临汾,11:51,-
快速,始,K2665,临汾,苏州,-,12:05
快速,过,K609,北京,韩城,12:20,12:28
快速,始,K962,临汾,沈阳北,-,12:35
普快,终,4628,运城,临汾,12:58,-
快速,过,K604,运城,北京,14:38,14:44
快速,过,K866,运城,唐山,15:50,15:58
快速,终,K2666,苏州,临汾,16:23,-
快速,过,K7807,大同,运城,16:53,16:59
快速,过,K610,韩城,北京,17:15,17:21
普客,始,8849,临汾,侯马,-,17:50
快速,过,K689,太原,重庆西,18:33,18:41
普快,始,2464,临汾,包头,-,18:45
普客,终,8166,风陵渡,临汾,19:12,-
普客,终,6046,韩城,临汾,20:41,-
普快,过,2095,太原,西安,23:33,23:39
