快速,过,K454,喀什,成都,23:48,00:04
快速,过,K680,乌鲁木齐,重庆,00:30,00:45
快速,过,K544,伊宁,重庆,00:37,00:56
直达特快,过,Z274,西宁,青岛,01:07,01:24
快速,过,K369,敦煌,西安,01:14,01:32
直达特快,过,Z378,西宁,上海,01:24,01:44
快速,过,K1615,银川,成都,01:43,01:58
快速,过,K1616,成都,银川,03:40,03:55
快速,过,K452,成都,喀什,03:54,04:11
快速,过,K980,齐齐哈尔,西宁,04:00,04:25
快速,过,K679,重庆,乌鲁木齐,04:41,04:56
快速,过,K888,天津,兰州西,04:52,05:10
城际动车,始,C8531,兰州,中川机场,-,05:19
快速,过,K1520,沈阳,西宁,05:03,05:27
快速,过,K543,重庆,伊宁,05:33,05:48
快速,终,K134,深圳西,兰州,05:54,-
城际动车,始,C8511,兰州,中川机场,-,05:58
直达特快,始,Z6201,兰州,武威,-,06:12
普客,始,6068,兰州,广元,-,06:12
快速,过,K2632,成都,西宁,06:10,06:26
快速,终,K9662,嘉峪关,兰州,06:38,-
快速,过,K177,郑州,西宁,06:28,06:43
城际动车,始,C8501,兰州,中川机场,-,07:00
动车组,始,D762,兰州,成都东,-,07:03
特快,终,T6602,嘉峪关,兰州,07:07,-
快速,过,K815,银川,西宁,06:52,07:07
动车组,始,D8892,兰州,岷县,-,07:11
特快,过,T269,西安,喀什,06:59,07:14
城际动车,终,C8532,中川机场,兰州,07:19,-
普客,始,7510,兰州,干塘,-,07:21
旅游,终,Y669,敦煌,兰州,07:31,-
特快,过,T175,北京西,西宁,07:31,07:39
动车组,始,D8882,兰州,陇南,-,07:41
直达特快,始,Z6205,兰州,嘉峪关,-,07:46
直达特快,终,Z55,北京西,兰州,07:48,-
快速,终,K2616,成都,兰州,07:54,-
城际动车,终,C8512,中川机场,兰州,07:59,-
快速,始,K2618,兰州,成都,-,08:09
快速,终,K308,温州,兰州,08:11,-
快速,过,K778,兰州西,东莞东,07:52,08:16
城际动车,始,C8513,兰州,中川机场,-,08:17
快速,终,K6651,银川,兰州,08:20,-
快速,过,K1312,深圳东,西宁,08:03,08:23
快速,始,K420,兰州,扬州,-,08:35
特快,始,T6611,兰州,金昌,-,08:36
快速,始,K6971,兰州,金昌,-,08:45
快速,终,K226,广州,兰州,08:45,-
动车组,始,D754,兰州,重庆北,-,08:55
快速,过,K886,兰州西,天津,08:39,09:02
特快,过,T270,喀什,西安,08:46,09:09
快速,终,K9669,敦煌,兰州,09:12,-
普快,过,2635,呼和浩特,兰州西,08:54,09:14
快速,终,K9663,长庆桥,兰州,09:18,-
直达特快,过,Z322,成都,拉萨,09:10,09:26
直达特快,过,Z223,重庆西,拉萨,09:10,09:26
城际动车,终,C8514,中川机场,兰州,10:01,-
普客,始,7561,兰州,兰州新区,-,10:04
普客,始,7502,兰州,陇西,-,10:04
直达特快,始,Z6207,兰州,张掖,-,10:12
动车组,过,D766,西宁,成都东,10:10,10:18
城际动车,始,C8515,兰州,中川机场,-,10:21
特快,终,T296,乌鲁木齐,兰州,10:25,-
动车组,始,D8886,兰州,陇南,-,10:25
快速,始,K9673,兰州,武威,-,10:32
快速,过,K596,乌鲁木齐,杭州,10:17,10:33
直达特快,过,Z376,上海,西宁,10:27,10:42
直达特快,终,Z129,北京西,兰州,10:42,-
直达特快,过,Z106,乌鲁木齐,济南,10:33,10:50
直达特快,过,Z232,乌鲁木齐,深圳,10:40,10:57
特快,始,T356,兰州,长庆桥,-,11:04
直达特快,过,Z311,呼和浩特,西宁,10:52,11:15
动车组,终,D8891,岷县,兰州,11:15,-
特快,始,T118,兰州,上海,-,11:16
城际动车,终,C8502,中川机场,兰州,11:18,-
普快,过,2636,兰州西,呼和浩特,11:11,11:23
动车组,始,D806,兰州,贵阳北,-,11:35
城际动车,始,C8503,兰州,中川机场,-,11:36
快速,过,K6678,长征,兰州西,11:34,11:42
特快,终,T6614,金昌,兰州,11:43,-
