普快,过,2602,秦皇岛,大同,23:48,00:18
快速,过,K7752,石家庄,承德,23:57,00:26
快速,过,K55,大连,包头,02:25,02:48
直达特快,过,Z350,青岛,包头,03:01,03:28
直达特快,过,Z184,临河,深圳东,03:08,03:36
普快,过,2604,朔州,秦皇岛,04:00,04:41
快速,过,K56,包头,大连,04:22,04:46
快速,终,K2560,赤峰南,北京,04:56,-
快速,过,K962,临汾,沈阳北,04:32,04:57
快速,终,K610,韩城,北京,05:03,-
快速,终,K646,福州,北京,05:09,-
直达特快,终,Z160,日照,北京,05:15,-
快速,终,K604,运城,北京,05:33,-
特快,终,T36,合肥,北京,05:56,-
直达特快,过,Z157,泰州,哈尔滨西,05:39,05:58
快速,始,K7705,北京,邯郸,-,06:03
动车组,终,D336,青岛北,北京,06:03,-
直达特快,终,Z62,长春,北京,06:08,-
直达特快,终,Z81,大连,北京,06:09,-
快速,终,K158,湛江,北京,06:17,-
直达特快,终,Z204,大庆东,北京,06:25,-
市郊动车,过,S110,乔庄东,北京西,06:31,06:32
动车组,始,D29,北京,齐齐哈尔南,-,06:34
动车组,始,D21,北京,珲春,-,06:39
快速,始,K5221,北京,清河城,-,06:52
动车组,始,D45,北京,大连北,-,06:55
快速,终,K54,沈阳北,北京,07:00,-
动车组,终,D718,杭州,北京,07:07,-
旅游,始,Y535,北京,张家口,-,07:14
市郊动车,过,S101,北京西,乔庄东,07:14,07:15
直达特快,终,Z52,南通,北京,07:25,-
直达特快,终,Z16,哈尔滨,北京,07:27,-
动车组,始,D6611,北京,曹妃甸东,-,07:28
直达特快,终,Z30,扬州,北京,07:31,-
市郊动车,过,S103,良乡,通州,07:32,07:33
直达特快,终,Z140,南通,北京,07:37,-
市郊动车,过,S102,乔庄东,北京西,07:43,07:44
直达特快,终,Z227,合肥,北京,07:52,-
直达特快,终,Z18,哈尔滨西,北京,07:52,-
快速,始,K7711,北京,承德,-,07:52
市郊动车,过,S105,良乡,乔庄东,08:02,08:03
快速,终,K602,太原,北京,08:10,-
直达特快,终,Z212,长春,北京,08:12,-
旅游,始,Y509,北京,秦皇岛,-,08:15
快速,终,K264,包头,北京,08:21,-
直达特快,终,Z84,齐齐哈尔,北京,08:24,-
直达特快,终,Z118,吉林,北京,08:36,-
快速,终,K28,丹东,北京,08:40,-
快速,终,K683,大连,北京,08:50,-
直达特快,始,Z601,北京,菏泽,-,08:52
快速,终,K1304,海拉尔,北京,08:52,-
快速,始,K7729,北京,德州,-,09:13
特快,终,T48,齐齐哈尔,北京,09:14,-
动车组,始,D17,北京,沈阳南,-,09:15
动车组,终,D706,上海虹桥,北京,09:24,-
快速,始,K263,北京,包头,-,09:25
特快,始,T5687,北京,秦皇岛,-,09:36
