直达特快,过,Z186,深圳,沈阳北,06:04,06:13
快速,过,K85,广州,景德镇北,05:58,06:19
高速动车,始,G5071,南昌西,瑞金,-,06:22
动车组,过,D739,北京西,三明北,06:32,06:38
动车组,过,D733,北京西,吉安,06:38,06:44
动车组,始,D3303,南昌西,宁波,-,07:06
高速动车,始,G1759,南昌西,重庆西,-,07:06
高速动车,始,G5031,南昌西,赣州西,-,07:13
动车组,始,D2361,南昌西,深圳北,-,07:19
高速动车,始,G1401,南昌西,广州南,-,07:20
高速动车,始,G637,南昌西,深圳北,-,07:41
动车组,始,D6513,南昌西,平潭,-,07:47
动车组,过,D727,北京西,深圳,07:48,07:54
高速动车,始,G631,南昌西,广州南,-,08:00
高速动车,始,G1460,南昌西,温州南,-,08:03
动车组,始,D2321,南昌西,深圳北,-,08:12
高速动车,始,G640,南昌西,兰州西,-,08:15
高速动车,始,G5033,南昌西,赣州西,-,08:17
高速动车,终,G5032,赣州西,南昌西,08:19,-
高速动车,始,G1384,南昌西,上海虹桥,-,08:23
高速动车,始,G1511,南昌西,昆明南,-,08:25
高速动车,始,G38,南昌西,北京南,-,08:35
高速动车,过,G1342,长沙南,上海虹桥,08:37,08:41
高速动车,始,G5037,南昌西,赣州西,-,08:45
高速动车,始,G3184,南昌西,兰州西,-,08:46
高速动车,始,G645,南昌西,广州南,-,08:50
动车组,始,D6523,南昌西,厦门,-,08:52
高速动车,始,G2044,南昌西,郑州东,-,08:55
高速动车,过,G1386,赣州西,上海虹桥,08:37,08:57
高速动车,始,G9857,南昌西,萍乡北,-,09:02
高速动车,始,G1496,南昌西,南京南,-,09:03
高速动车,过,G2270,长沙南,赣州西,08:58,09:04
高速动车,始,G5039,南昌西,赣州西,-,09:18
动车组,终,D6548,南丰,南昌西,09:23,-
高速动车,始,G2358,南昌西,宁波,-,09:23
高速动车,过,G2035,武汉,温州南,09:32,09:36
高速动车,过,G1346,长沙南,上海虹桥,09:40,09:43
动车组,始,D6527,南昌西,厦门北,-,09:44
高速动车,始,G4209,南昌西,长沙南,-,09:48
高速动车,终,G5034,赣州西,南昌西,09:58,-
动车组,始,D6503,南昌西,福州,-,10:01
高速动车,过,G1756,福州,成都东,10:01,10:05
高速动车,过,G1321,上海虹桥,六盘水,10:12,10:15
高速动车,过,G1692,长沙南,厦门北,10:06,10:15
高速动车,始,G5041,南昌西,赣州西,-,10:18
高速动车,过,G1421,嘉兴南,玉溪,10:26,10:29
动车组,过,D2242,福州,成都东,10:26,10:33
高速动车,过,G2318,长沙南,温州南,10:30,10:33
高速动车,过,G2185,杭州东,成都东,10:30,10:35
高速动车,始,G2382,南昌西,杭州东,-,10:38
高速动车,过,G1348,长沙南,上海虹桥,10:37,10:40
高速动车,终,G9842,赣州西,南昌西,10:43,-
高速动车,终,G1408,广州南,南昌西,10:49,-
高速动车,始,G488,南昌西,北京西,-,10:49
高速动车,过,G633,九江,深圳北,10:32,10:50
高速动车,过,G1403,杭州东,广州南,10:55,10:58
高速动车,过,G1350,长沙南,上海虹桥,11:00,11:03
高速动车,过,G85,上海虹桥,广州南,11:00,11:04
高速动车,过,G1383,上海虹桥,赣州西,10:46,11:05
高速动车,过,G2286,赣州西,武汉,11:01,11:05
高速动车,始,G9811,南昌西,赣州西,-,11:05
高速动车,过,G2312,温州南,长沙南,11:05,11:09
动车组,过,D3262,汉口,福州,11:07,11:11
