高速动车,过,G7358,杭州,上海,06:39,06:41
高速动车,始,G1421,嘉兴南,玉溪,-,06:42
动车组,始,D2212,嘉兴南,重庆北,-,06:47
高速动车,始,G110,嘉兴南,北京南,-,06:53
动车组,过,D3145,上海虹桥,赣州,07:07,07:09
高速动车,始,G1952,嘉兴南,运城北,-,07:14
高速动车,过,G1383,上海虹桥,赣州西,07:11,07:14
高速动车,过,G7501,上海虹桥,苍南,07:16,07:22
高速动车,过,G7556,余杭,上海虹桥,07:25,07:27
高速动车,过,G7543,上海虹桥,温州南,07:34,07:36
动车组,过,D2287,上海虹桥,深圳北,07:38,07:41
高速动车,过,G2365,上海虹桥,邵阳,07:44,07:46
高速动车,过,G1371,上海虹桥,昆明南,07:48,07:51
高速动车,过,G7552,千岛湖,上海虹桥,07:53,07:55
高速动车,过,G7395,上海虹桥,南京南,08:00,08:02
高速动车,过,G1866,宁波,郑州东,08:03,08:06
高速动车,过,G2189,上海虹桥,成都东,08:04,08:07
动车组,过,D3131,上海虹桥,龙岩,08:10,08:12
高速动车,过,G7534,奉化,上海虹桥,08:14,08:16
高速动车,过,G7492,金华,安庆,08:18,08:20
高速动车,过,G7554,千岛湖,上海虹桥,08:30,08:33
高速动车,过,G7503,苏州,台州,08:32,08:34
动车组,过,D377,上海虹桥,深圳北,08:37,08:42
高速动车,过,G7549,上海虹桥,温州南,08:47,08:49
高速动车,过,G7372,江山,界首南,08:48,08:50
高速动车,过,G1337,上海虹桥,重庆西,08:51,08:54
高速动车,过,G7502,宁波,上海虹桥,08:53,08:55
动车组,过,D3201,上海虹桥,厦门北,08:58,09:01
高速动车,过,G7530,宁海,上海虹桥,09:09,09:11
高速动车,过,G7317,上海,黄山北,09:04,09:11
高速动车,过,G7325,张家港,温州南,09:15,09:23
高速动车,过,G7505,南京南,宁波,09:27,09:29
高速动车,过,G7344,瑞安,上海虹桥,09:27,09:29
高速动车,过,G7330,温州南,上海虹桥,09:31,09:34
动车组,过,D2281,南京,深圳北,09:31,09:34
高速动车,过,G7194,黄山北,常州北,09:37,09:39
高速动车,过,G7349,南京南,温州南,09:37,09:40
高速动车,过,G7504,温州南,上海虹桥,09:42,09:44
动车组,过,D2285,上海虹桥,深圳北,09:42,09:46
高速动车,过,G1655,上海虹桥,厦门北,09:51,09:53
高速动车,过,G7313,南京,黄山北,09:55,09:58
高速动车,过,G7364,江山,上海虹桥,09:59,10:01
高速动车,过,G1377,南京南,昆明南,10:02,10:04
高速动车,过,G7532,三门县,上海虹桥,10:04,10:06
动车组,过,D3205,上海虹桥,厦门北,10:07,10:09
高速动车,过,G7389,南京,衢州,10:14,10:16
