旅游,过,Y669,敦煌,兰州,23:57,00:05
直达特快,过,Z230,深圳,乌鲁木齐,00:09,00:17
直达特快,过,Z70,乌鲁木齐,北京西,00:17,00:25
特快,过,T270,喀什,西安,00:30,00:39
直达特快,过,Z179,北京西,乌鲁木齐,00:47,01:02
快速,过,K596,乌鲁木齐,杭州,01:10,01:18
快速,过,K1584,乌鲁木齐,重庆,01:21,01:32
特快,过,T295,兰州,乌鲁木齐,01:32,01:40
旅游,过,Y667,兰州,敦煌,01:40,01:49
直达特快,过,Z105,济南,乌鲁木齐,02:16,02:24
特快,过,T296,乌鲁木齐,兰州,02:26,02:34
快速,过,K9667,兰州,敦煌,02:53,03:01
直达特快,过,Z106,乌鲁木齐,济南,03:05,03:13
直达特快,过,Z232,乌鲁木齐,深圳,03:14,03:22
快速,过,K41,北京,敦煌,03:30,03:38
直达特快,过,Z304,上海,伊宁,03:51,03:59
特快,过,T308,乌鲁木齐,福州,04:21,04:29
直达特快,过,Z42,乌鲁木齐,上海,04:29,04:37
快速,过,K594,杭州,乌鲁木齐,04:42,04:50
快速,过,K1502,昆明,乌鲁木齐,05:15,05:23
快速,过,K367,西安,敦煌,05:30,05:38
直达特快,过,Z180,乌鲁木齐,北京西,05:34,05:44
直达特快,过,Z136,乌鲁木齐,广州,05:47,05:57
直达特快,过,Z294,乌鲁木齐,汉口,06:00,06:08
普客,始,7529,嘉峪关,镜铁山,-,06:25
特快,终,T6601,兰州,嘉峪关,06:26,-
直达特快,过,Z358,伊宁,济南,06:30,06:45
直达特快,过,Z69,北京西,乌鲁木齐,06:42,06:50
特快,过,T198,乌鲁木齐,郑州,06:51,06:59
直达特快,过,Z306,伊宁,上海,07:12,07:20
特快,过,T302,长春,乌鲁木齐,07:32,07:40
特快,过,T284,乌鲁木齐,南宁,07:33,07:52
快速,终,K9661,兰州,嘉峪关,08:10,-
普客,始,7535,嘉峪关,敦煌,-,08:15
普客,始,7508,嘉峪关,武威南,-,11:08
快速,过,K1538,乌鲁木齐,南京,11:56,12:06
快速,过,K1352,乌鲁木齐,连云港东,11:56,12:06
快速,过,K43,敦煌,北京,12:06,12:14
快速,过,K2060,乌鲁木齐,成都,12:18,12:26
快速,过,K176,乌鲁木齐,郑州,13:03,13:11
快速,过,K452,成都,喀什,13:09,13:17
快速,过,K680,乌鲁木齐,重庆,13:16,13:24
快速,过,K1504,乌鲁木齐,昆明,13:24,13:32
快速,过,K454,喀什,成都,13:32,13:40
快速,终,K9677,敦煌,嘉峪关,13:47,-
快速,过,K544,伊宁,重庆,13:40,13:50
快速,过,K679,重庆,乌鲁木齐,14:20,14:28
快速,过,K369,敦煌,西安,14:17,14:30
快速,过,K543,重庆,伊宁,14:55,15:03
特快,过,T269,西安,喀什,15:10,15:18
直达特快,终,Z6205,兰州,嘉峪关,15:20,-
直达特快,始,Z6206,嘉峪关,兰州,-,15:55
普客,终,7530,镜铁山,嘉峪关,19:32,-
特快,过,T197,郑州,乌鲁木齐,19:41,19:51
特快,过,T282,南宁,乌鲁木齐,19:56,20:06
普客,终,7507,武威南,嘉峪关,20:38,-
快速,始,K9662,嘉峪关,兰州,-,20:49
直达特快,过,Z292,汉口,乌鲁木齐,20:54,21:09
特快,过,T304,乌鲁木齐,长春,21:13,21:21
普客,终,7537,敦煌,嘉峪关,21:35,-
特快,始,T6602,嘉峪关,兰州,-,22:30
直达特快,过,Z138,广州,乌鲁木齐,22:36,22:51
特快,过,T306,福州,乌鲁木齐,23:02,23:13
快速,过,K9669,敦煌,兰州,23:17,23:34
直达特快,过,Z40,上海,乌鲁木齐,23:28,23:36
