快速,过,K411,北京,威海,01:48,01:58
快速,过,K646,福州,北京,03:10,03:20
直达特快,过,Z160,日照,北京,03:31,03:40
特快,过,T36,合肥,北京,04:21,04:31
动车组,过,D336,青岛北,北京,04:39,04:41
城际动车,始,C2606,天津西,北京南,-,05:40
高速动车,始,G6753,天津西,邯郸东,-,05:40
城际动车,始,C2608,天津西,北京南,-,05:50
动车组,过,D718,杭州,北京,05:51,05:53
高速动车,始,G6289,天津西,秦皇岛,-,06:08
城际动车,始,C2610,天津西,北京南,-,06:09
城际动车,始,C2612,天津西,北京南,-,06:26
城际动车,始,C2614,天津西,北京南,-,06:31
高速动车,始,G6271,天津西,邯郸东,-,06:42
城际动车,终,C2601,北京南,天津西,06:44,-
城际动车,终,C2603,北京南,天津西,06:49,-
城际动车,始,C2616,天津西,北京南,-,06:52
高速动车,始,G51,天津西,宁波,-,06:52
城际动车,始,C2618,天津西,北京南,-,07:14
高速动车,始,G8912,天津西,北京南,-,07:19
城际动车,始,C2620,天津西,北京南,-,07:30
城际动车,始,C2676,天津西,北京南,-,07:46
普快,过,1462,上海,北京,07:40,07:48
高速动车,始,G373,天津西,哈尔滨西,-,07:52
高速动车,始,G363,天津西,武汉,-,07:53
城际动车,始,C2622,天津西,北京南,-,07:58
高速动车,始,G1709,天津西,重庆西,-,08:05
城际动车,终,C2605,北京南,天津西,08:09,-
动车组,过,D706,上海虹桥,北京,08:08,08:10
高速动车,过,G383,北京南,吉林,08:16,08:21
高速动车,过,G381,北京南,哈尔滨西,08:29,08:32
城际动车,始,C2624,天津西,北京南,-,08:34
高速动车,始,G441,天津西,上海,-,08:45
特快,过,T110,上海,北京,08:41,08:47
高速动车,过,G8918,唐山,北京南,08:35,08:50
高速动车,过,G8924,秦皇岛,北京南,08:58,09:01
城际动车,终,C2607,北京南,天津西,09:02,-
高速动车,过,G387,北京南,大连北,09:00,09:02
直达特快,过,Z282,杭州,包头,09:03,09:06
城际动车,终,C2609,北京南,天津西,09:07,-
高速动车,过,G1298,石家庄,沈阳,09:05,09:08
高速动车,过,G1704,秦皇岛,成都东,09:09,09:12
高速动车,始,G8902,天津西,北京南,-,09:18
