快速,过,K1452,牡丹江,日照,06:30,06:55
动车组,过,D782,杭州,青岛北,07:36,07:38
高速动车,过,G5569,青岛北,曲阜东,07:44,07:46
高速动车,始,G6966,日照西,济南西,-,08:22
高速动车,过,G5571,青岛北,曲阜东,08:35,08:38
高速动车,过,G5559,淄博北,曲阜东,08:58,09:00
高速动车,过,G5536,临沂北,临沂北,08:58,09:00
高速动车,过,G1838,青岛,重庆西,09:51,09:53
高速动车,过,G2632,盐城,沈阳,09:53,09:59
高速动车,过,G5573,青岛北,曲阜东,10:05,10:22
高速动车,过,G5557,济南,济南,10:24,10:28
高速动车,过,G6955,青岛北,青岛北,10:42,10:45
高速动车,过,G5582,曲阜东,威海,11:00,11:02
高速动车,过,G5588,威海,曲阜东,11:09,11:11
高速动车,终,G6965,济南西,日照西,11:33,-
高速动车,过,G5567,济南西,济南西,11:40,11:42
高速动车,过,G481,北京南,盐城,11:47,11:50
高速动车,过,G5590,曲阜东,烟台,11:55,11:58
高速动车,过,G5570,曲阜东,青岛北,12:07,12:09
高速动车,过,G2059,石家庄,盐城,12:07,12:10
高速动车,过,G2684,威海,兰州西,12:32,12:35
高速动车,过,G6956,青岛北,青岛北,12:41,12:44
高速动车,过,G3221,青岛北,襄阳东,12:54,12:58
高速动车,过,G5525,临沂北,临沂北,13:36,13:40
高速动车,过,G1852,郑州东,青岛北,14:07,14:10
高速动车,过,G5572,曲阜东,青岛北,14:15,14:17
高速动车,过,G6968,岚山西,济南西,14:18,14:22
高速动车,过,G5526,临沂北,临沂北,15:39,15:42
高速动车,过,G5563,济南西,曲阜东,16:06,16:08
高速动车,过,G6967,济南西,岚山西,16:53,16:55
高速动车,过,G2060,盐城,石家庄,17:07,17:09
高速动车,过,G5575,青岛北,曲阜东,17:06,17:10
高速动车,过,G5584,威海,曲阜东,17:19,17:23
高速动车,过,G482,盐城,北京南,17:20,17:23
高速动车,过,G2686,兰州西,威海,17:25,17:29
高速动车,过,G1851,青岛北,郑州东,17:28,17:32
高速动车,过,G6975,青岛北,青岛北,17:37,17:40
高速动车,过,G6964,岚山西,济南西,17:39,17:41
高速动车,过,G5592,烟台,曲阜东,17:54,17:57
高速动车,过,G3222,襄阳东,青岛北,18:13,18:18
高速动车,过,G5564,曲阜东,济南西,18:46,18:51
高速动车,过,G5586,曲阜东,威海,19:13,19:16
高速动车,过,G2630,沈阳,盐城,19:21,19:24
高速动车,过,G5555,济南,济南,19:26,19:28
高速动车,过,G6976,青岛北,青岛北,19:29,19:35
高速动车,过,G5565,济南西,济南西,20:26,20:29
高速动车,过,G5576,曲阜东,青岛北,20:37,20:40
高速动车,过,G5560,曲阜东,淄博北,20:48,20:50
高速动车,过,G5535,临沂北,临沂北,20:55,20:57
高速动车,过,G5574,曲阜东,青岛北,21:01,21:03
高速动车,过,G1836,重庆西,青岛,21:18,21:20
高速动车,终,G6963,济南西,日照西,21:54,-
动车组,过,D781,青岛北,杭州,22:05,22:09
