快速,过,K136,南通,昆明,23:59,00:05
快速,过,K1240,郑州,温州,00:05,00:11
快速,过,K677,徐州,广州东,00:25,00:31
快速,过,K8361,阜阳,上海,00:13,00:38
快速,过,K1440,平顶山,宁波,00:48,00:54
快速,过,K8564,宁波,亳州,00:50,00:56
快速,过,K8563,亳州,宁波,00:57,01:05
快速,过,K656,杭州,呼和浩特,01:16,01:22
快速,过,K1396,温州,太原,01:29,01:35
快速,过,K390,西宁,杭州,01:32,01:38
快速,过,K1238,温州,郑州,01:43,01:49
快速,过,K8500,宁波,阜阳,01:56,02:02
快速,过,K1438,宁波,平顶山,02:15,02:21
快速,过,K675,广州东,徐州,02:22,02:42
快速,过,K645,北京,福州,03:11,03:20
快速,过,K1218,南昌,宁波,03:13,03:33
快速,过,K1052,青岛北,温州,03:43,03:49
快速,过,K784,萍乡,上海,03:53,03:59
特快,过,T328,郑州,宁波,04:09,04:15
特快,过,T238,重庆西,昆山,03:56,04:21
快速,过,K138,昆明,南通,04:24,04:30
快速,过,K1326,南昌,苏州,04:54,05:00
快速,过,K1108,南阳,上海南,05:15,05:21
快速,过,K348,温州,沈阳北,05:23,05:29
快速,过,K8362,上海,阜阳,05:09,05:35
快速,过,K308,温州,兰州,05:51,05:57
快速,过,K1263,石家庄,杭州,05:53,05:59
快速,始,K8527,芜湖,合肥,-,06:05
快速,过,K34,深圳,苏州,06:31,06:37
高速动车,始,G7274,芜湖,上海,-,06:42
快速,过,K608,西安,杭州,06:37,06:43
快速,过,K468,西安,宁波,06:47,06:53
高速动车,始,G7228,芜湖,上海,-,07:28
动车组,终,D5641,南京南,芜湖,07:37,-
高速动车,过,G7422,宣城,南京南,07:37,07:39
快速,过,K1158,成都,上海,07:21,07:41
高速动车,过,G7728,池州,上海虹桥,07:47,07:49
快速,始,K8412,芜湖,连云港东,-,07:50
快速,过,K168,洛阳,宁波,07:48,07:55
动车组,始,D5642,芜湖,南京南,-,08:01
高速动车,过,G1874,杭州东,兰州西,08:02,08:04
快速,过,K1154,重庆西,杭州,08:06,08:12
高速动车,过,G7150,安庆,上海虹桥,08:11,08:13
快速,过,K891,大同,杭州,08:15,08:21
高速动车,过,G9501,合肥南,杭州东,08:29,08:31
高速动车,过,G7170,池州,上海虹桥,08:34,08:36
高速动车,过,G7072,上海,安庆,08:37,08:39
高速动车,过,G2806,杭州东,石家庄,08:42,08:44
高速动车,过,G7594,安庆,温州南,08:50,08:52
高速动车,过,G7711,南京南,宣城,08:53,08:55
高速动车,过,G7645,阜阳西,苍南,09:07,09:09
快速,过,K2275,新乡,杭州,09:06,09:12
高速动车,过,G7076,上海,安庆,09:13,09:15
高速动车,过,G7693,合肥南,宁波,09:19,09:21
高速动车,过,G1882,金华南,西安北,09:25,09:27
特快,过,T151,南京,广州,09:24,09:30
高速动车,过,G7423,南京南,宣城,09:35,09:37
高速动车,过,G7074,安庆,上海,09:42,09:44
高速动车,过,G7724,宁海,亳州南,09:48,09:50
动车组,过,D5601,南京南,安庆,09:50,09:52
高速动车,始,G1391,芜湖,昆明南,-,09:55
高速动车,过,G7712,宣城,南京南,10:14,10:16
高速动车,始,G7428,芜湖,淮北,-,10:16
动车组,过,D656,宁波,重庆北,10:20,10:22
高速动车,过,G7078,安庆,上海,10:24,10:26
高速动车,过,G7762,六安,温州南,10:26,10:28
高速动车,过,G7080,上海,安庆,10:28,10:30
动车组,过,D5602,安庆,南京南,10:39,10:41
动车组,过,D2262,杭州东,成都东,10:41,10:43
高速动车,过,G1961,郑州东,宁波,10:43,10:45
高速动车,过,G42,杭州东,北京南,10:48,10:50
高速动车,过,G7178,宣城,上海虹桥,10:59,11:01
动车组,终,D9511,南京南,芜湖,11:02,-
高速动车,过,G1964,宁波,郑州东,11:05,11:07
高速动车,过,G1965,郑州东,温州南,11:09,11:12
高速动车,过,G7425,合肥南,杭州东,11:23,11:25
高速动车,过,G7084,上海,安庆,11:23,11:25
高速动车,过,G1438,长沙南,宣城,11:30,11:32
动车组,始,D9512,芜湖,南京南,-,11:34
高速动车,过,G7492,金华,安庆,11:53,11:55
快速,过,K1050,温州,青岛北,11:50,11:56
高速动车,过,G7134,安庆,上海虹桥,11:56,11:58
高速动车,过,G7564,杭州东,金寨,12:00,12:02
高速动车,过,G584,武汉,宁波,12:03,12:05
高速动车,过,G7713,南京南,宣城,12:07,12:10
高速动车,过,G7132,上海虹桥,安庆,12:16,12:18
高速动车,过,G7731,界首南,杭州东,12:19,12:21
高速动车,过,G7082,安庆,上海,12:20,12:22
