快速,过,K1624,武昌,连云港东,05:36,05:40
动车组,过,D782,杭州,青岛北,06:25,06:34
快速,过,K8418,连云港东,合肥,06:38,06:43
普快,过,1551,太原,连云港东,06:32,06:43
快速,过,K612,南昌,连云港东,06:42,06:53
快速,过,K8414,连云港东,合肥,06:53,06:57
高速动车,始,G8263,连云港,上海,-,07:22
快速,过,K8356,上海,连云港东,07:32,07:36
动车组,始,D5691,连云港,徐州东,-,07:40
城际动车,始,C3659,连云港,南京,-,08:00
高速动车,始,G8311,连云港,上海虹桥,-,08:37
高速动车,过,G2632,盐城,沈阳,08:55,09:00
普快,过,1552,连云港东,太原,08:55,09:01
快速,过,K8399,徐州,连云港东,09:07,09:12
普快,过,1148,宝鸡,连云港东,09:15,09:19
快速,过,K8380,连云港东,徐州,09:14,09:20
快速,过,K8352,杭州,连云港东,09:28,09:31
动车组,终,D5681,徐州东,连云港,09:35,-
动车组,始,D5683,连云港,徐州东,-,09:55
高速动车,过,G1838,青岛,重庆西,10:38,10:41
高速动车,终,G8266,上海,连云港,10:45,-
高速动车,始,G7583,连云港,宁波,-,11:05
城际动车,过,C3887,南京南,赣榆,10:55,11:07
高速动车,终,G8312,上海虹桥,连云港,11:32,-
城际动车,始,C3835,连云港,南京南,-,11:40
快速,过,K304,连云港东,广州,11:45,11:49
高速动车,始,G8291,连云港,上海,-,12:04
城际动车,过,C3651,赣榆,南京,12:22,12:27
高速动车,过,G481,北京南,盐城,12:39,12:41
高速动车,终,G8316,上海虹桥,连云港,12:49,-
高速动车,过,G2059,石家庄,盐城,12:57,12:59
高速动车,过,G1852,郑州东,青岛北,13:01,13:05
高速动车,终,G8262,上海,连云港,13:12,-
高速动车,过,G2684,威海,兰州西,13:20,13:23
城际动车,终,C3837,南京南,连云港,13:23,-
高速动车,始,G7585,连云港,温州南,-,13:29
高速动车,始,G8313,连云港,上海虹桥,-,13:45
高速动车,过,G3221,青岛北,襄阳东,13:50,13:54
城际动车,始,C3839,连云港,南京南,-,14:15
城际动车,终,C3657,南京,连云港,14:31,-
高速动车,终,G2678,西安北,连云港,14:46,-
动车组,过,D9508,上海,赣榆,15:03,15:08
城际动车,始,C3885,连云港,南京南,-,15:13
动车组,终,D5685,徐州东,连云港,15:20,-
高速动车,终,G7586,温州南,连云港,15:32,-
高速动车,始,G2677,连云港,西安北,-,15:35
高速动车,终,G8314,上海虹桥,连云港,15:52,-
动车组,始,D5687,连云港,徐州东,-,16:04
高速动车,始,G8315,连云港,上海虹桥,-,16:15
高速动车,过,G2060,盐城,石家庄,16:13,16:15
动车组,过,D9507,赣榆,上海,16:14,16:20
快速,过,K8373,徐州,连云港东,16:23,16:27
高速动车,过,G482,盐城,北京南,16:30,16:32
高速动车,始,G8261,连云港,上海,-,16:45
高速动车,过,G2686,兰州西,威海,16:40,16:46
普快,过,1150,连云港东,宝鸡,16:43,16:46
快速,过,K8354,连云港东,杭州,16:53,16:58
高速动车,终,G8318,上海虹桥,连云港,17:05,-
快速,过,K1626,连云港东,武昌,17:05,17:13
城际动车,终,C3673,南京,连云港,17:13,-
高速动车,始,G8317,连云港,上海虹桥,-,17:21
高速动车,过,G3222,襄阳东,青岛北,17:30,17:35
城际动车,始,C3671,连云港,南京,-,17:42
快速,过,K8379,徐州,连云港东,17:46,17:51
高速动车,终,G9234,上海虹桥,连云港,17:59,-
高速动车,终,G7390,衢州,连云港,18:05,-
快速,过,K8412,芜湖,连云港东,18:03,18:07
快速,过,K614,连云港东,南昌,18:06,18:12
城际动车,终,C3833,南京南,连云港,18:23,-
快速,过,K1614,连云港东,北京,18:22,18:26
高速动车,过,G1851,青岛北,郑州东,18:25,18:29
城际动车,始,C3831,连云港,南京南,-,18:40
高速动车,始,G9233,连云港,上海虹桥,-,19:05
高速动车,始,G8265,连云港,上海,-,19:40
城际动车,过,C3661,南京,赣榆,19:32,19:44
快速,过,K8358,连云港东,上海,19:58,20:03
快速,过,K8395,徐州,连云港东,20:01,20:08
城际动车,终,C3841,南京南,连云港,20:08,-
高速动车,过,G2630,沈阳,盐城,20:18,20:22
高速动车,过,G1836,重庆西,青岛,20:34,20:38
高速动车,终,G8292,上海,连云港,21:07,-
高速动车,终,G8264,上海,连云港,21:17,-
动车组,终,D5689,徐州东,连云港,21:31,-
快速,过,K1352,乌鲁木齐,连云港东,22:07,22:13
动车组,过,D781,青岛北,杭州,23:03,23:13
快速,终,K1613,北京,连云港,23:39,-
