快速,终,K1624,武昌,连云港东,06:08,-
快速,始,K8418,连云港东,合肥,-,06:10
快速,始,K8414,连云港东,合肥,-,06:25
普快,终,1551,太原,连云港东,07:12,-
快速,终,K612,南昌,连云港东,07:21,-
快速,终,K8356,上海,连云港东,08:04,-
普快,始,1552,连云港东,太原,-,08:27
快速,始,K8380,连云港东,徐州,-,08:46
快速,终,K8399,徐州,连云港东,09:40,-
普快,终,1148,宝鸡,连云港东,09:51,-
快速,终,K8352,杭州,连云港东,09:59,-
快速,始,K304,连云港东,广州,-,11:17
普快,始,1150,连云港东,宝鸡,-,16:15
快速,始,K8354,连云港东,杭州,-,16:25
快速,始,K1626,连云港东,武昌,-,16:36
快速,终,K8373,徐州,连云港东,16:55,-
快速,始,K614,连云港东,南昌,-,17:38
快速,始,K1614,连云港东,北京,-,17:56
快速,终,K8379,徐州,连云港东,18:19,-
快速,终,K8412,芜湖,连云港东,18:35,-
快速,始,K8358,连云港东,上海,-,19:30
快速,终,K8395,徐州,连云港东,20:36,-
快速,终,K1352,乌鲁木齐,连云港东,22:41,-
